,year,State,Race,Total population,Total citizen population,Total registered,Percent registered (Total),Margin of error 1,Margin of error 1,Margin of error 1,Margin of error 1,Percent registered (Citizen),Margin of error 1,Margin of error 1,Margin of error 1,Margin of error 1,Total voted,Percent voted (Total),Margin of error 1,Margin of error 1,Margin of error 1,Margin of error 1,Percent voted (Citizen),Margin of error 1,Margin of error 1,Margin of error 1,Margin of error 1
80,2010,CONNECTICUT,White,"2,273","2,181","1,473",64.8,2.7,2.7,2.8,2.9,67.6,2.7,2.7,2.8,2.9,"1,096",48.2,2.7,2.7,2.8,2.9,50.3,2.7,2.7,2.8,2.9
82,2010,CONNECTICUT,Black,247,209,132,53.4,10.3,10.9,10,11.2,63.1,10.3,10.9,10,11.2,93,37.7,10.3,10.9,10,11.2,44.6,10.3,10.9,10,11.2
84,2010,CONNECTICUT,Hispanic,243,197,111,45.6,13.5,14.9,11.4,13.6,56.3,13.5,14.9,11.4,13.6,56,22.9,13.5,14.9,11.4,13.6,28.3,13.5,14.9,11.4,13.6
88,2010,DELAWARE,Total,667,634,418,62.6,2.5,2.5,2.6,2.7,65.9,2.5,2.5,2.6,2.7,323,48.5,2.5,2.5,2.6,2.7,51,2.5,2.5,2.6,2.7
91,2010,DELAWARE,White,513,489,330,64.4,2.9,2.9,3,3.1,67.5,2.9,2.9,3,3.1,252,49.2,2.9,2.9,3,3.1,51.6,2.9,2.9,3,3.1
93,2010,DELAWARE,Black,134,130,79,58.5,7,7,7.1,7.2,60.6,7,7,7.1,7.2,64,47.9,7,7,7.1,7.2,49.6,7,7,7.1,7.2
95,2010,DELAWARE,Hispanic,40,19,9,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),6,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
99,2010,DISTRICT OF COLUMBIA,Total,489,441,295,60.3,2.7,2.7,2.7,2.9,66.9,2.7,2.7,2.7,2.9,200,40.8,2.7,2.7,2.7,2.9,45.3,2.7,2.7,2.7,2.9
102,2010,DISTRICT OF COLUMBIA,White,220,189,134,60.7,4,4,4,4.4,70.9,4,4,4,4.4,86,38.8,4,4,4,4.4,45.3,4,4,4,4.4
104,2010,DISTRICT OF COLUMBIA,Black,244,234,146,59.8,4.6,4.6,4.6,4.8,62.5,4.6,4.6,4.6,4.8,103,42.3,4.6,4.6,4.6,4.8,44.2,4.6,4.6,4.6,4.8
106,2010,DISTRICT OF COLUMBIA,Hispanic,45,23,12,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),8,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
110,2010,FLORIDA,Total,"14,227","12,697","7,994",56.2,1.2,1.3,1.2,1.3,63,1.2,1.3,1.2,1.3,"5,572",39.2,1.2,1.3,1.2,1.3,43.9,1.2,1.3,1.2,1.3
113,2010,FLORIDA,White,"11,665","10,553","6,731",57.7,1.4,1.4,1.3,1.4,63.8,1.4,1.4,1.3,1.4,"4,740",40.6,1.4,1.4,1.3,1.4,44.9,1.4,1.4,1.3,1.4
115,2010,FLORIDA,Black,"2,046","1,748","1,073",52.4,4,4.2,3.8,4.2,61.4,4,4.2,3.8,4.2,725,35.4,4,4.2,3.8,4.2,41.5,4,4.2,3.8,4.2
117,2010,FLORIDA,Hispanic,"2,962","2,100","1,239",41.8,4.2,5,3.9,5,59,4.2,5,3.9,5,863,29.1,4.2,5,3.9,5,41.1,4.2,5,3.9,5
121,2010,GEORGIA,Total,"7,119","6,574","4,076",57.2,1.7,1.8,1.7,1.8,62,1.7,1.8,1.7,1.8,"2,865",40.2,1.7,1.8,1.7,1.8,43.6,1.7,1.8,1.7,1.8
124,2010,GEORGIA,White,"4,734","4,377","2,717",57.4,2.1,2.2,2.1,2.2,62.1,2.1,2.2,2.1,2.2,"1,881",39.7,2.1,2.2,2.1,2.2,43,2.1,2.2,2.1,2.2
126,2010,GEORGIA,Black,"2,066","1,983","1,260",61,3.9,3.9,3.9,4,63.5,3.9,3.9,3.9,4,929,45,3.9,3.9,3.9,4,46.8,3.9,3.9,3.9,4
128,2010,GEORGIA,Hispanic,519,194,77,14.9,7.3,16.4,5.9,14.3,39.7,7.3,16.4,5.9,14.3,46,8.9,7.3,16.4,5.9,14.3,23.9,7.3,16.4,5.9,14.3
132,2010,HAWAII,Total,965,892,466,48.3,2.5,2.6,2.5,2.6,52.3,2.5,2.6,2.5,2.6,385,39.9,2.5,2.6,2.5,2.6,43.1,2.5,2.6,2.5,2.6
135,2010,HAWAII,White,191,179,99,52.1,5.6,5.8,5.6,5.8,55.7,5.6,5.8,5.6,5.8,84,43.9,5.6,5.8,5.6,5.8,47,5.6,5.8,5.6,5.8
137,2010,HAWAII,Black,28,27,10,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),10,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
139,2010,HAWAII,Hispanic,85,77,39,45.9,13.3,14,12.4,13.4,50.7,13.3,14,12.4,13.4,27,32.3,13.3,14,12.4,13.4,35.7,13.3,14,12.4,13.4
143,2010,IDAHO,Total,"1,114","1,048",666,59.8,2.5,2.5,2.5,2.6,63.5,2.5,2.5,2.5,2.6,498,44.7,2.5,2.5,2.5,2.6,47.5,2.5,2.5,2.5,2.6
146,2010,IDAHO,White,"1,051","1,001",645,61.4,2.5,2.5,2.6,2.6,64.4,2.5,2.5,2.6,2.6,483,46,2.5,2.5,2.6,2.6,48.3,2.5,2.5,2.6,2.6
148,2010,IDAHO,Black,8,8,4,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),4,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
150,2010,IDAHO,Hispanic,100,61,17,16.9,9.8,15.1,7.5,11.9,27.8,9.8,15.1,7.5,11.9,9,8.9,9.8,15.1,7.5,11.9,14.7,9.8,15.1,7.5,11.9
154,2010,ILLINOIS,Total,"9,619","8,780","5,823",60.5,1.5,1.5,1.5,1.6,66.3,1.5,1.5,1.5,1.6,"3,994",41.5,1.5,1.5,1.5,1.6,45.5,1.5,1.5,1.5,1.6
157,2010,ILLINOIS,White,"7,799","7,177","4,794",61.5,1.7,1.7,1.7,1.8,66.8,1.7,1.7,1.7,1.8,"3,225",41.4,1.7,1.7,1.7,1.8,44.9,1.7,1.7,1.7,1.8
159,2010,ILLINOIS,Black,"1,312","1,266",844,64.4,4.8,4.8,5,5.1,66.7,4.8,4.8,5,5.1,658,50.2,4.8,4.8,5,5.1,52,4.8,4.8,5,5.1
161,2010,ILLINOIS,Hispanic,"1,220",749,388,31.8,6.3,8.6,5.4,8,51.9,6.3,8.6,5.4,8,241,19.8,6.3,8.6,5.4,8,32.2,6.3,8.6,5.4,8
165,2010,INDIANA,Total,"4,777","4,638","2,838",59.4,2.1,2.1,2.1,2.1,61.2,2.1,2.1,2.1,2.1,"1,826",38.2,2.1,2.1,2.1,2.1,39.4,2.1,2.1,2.1,2.1
168,2010,INDIANA,White,"4,300","4,193","2,544",59.2,2.2,2.2,2.2,2.2,60.7,2.2,2.2,2.2,2.2,"1,646",38.3,2.2,2.2,2.2,2.2,39.3,2.2,2.2,2.2,2.2
170,2010,INDIANA,Black,371,363,254,68.3,8.7,8.7,9.3,9.4,69.8,8.7,8.7,9.3,9.4,158,42.6,8.7,8.7,9.3,9.4,43.5,8.7,8.7,9.3,9.4
172,2010,INDIANA,Hispanic,195,102,33,17,12.6,21.7,10,18.1,32.4,12.6,21.7,10,18.1,19,9.8,12.6,21.7,10,18.1,18.7,12.6,21.7,10,18.1
176,2010,IOWA,Total,"2,278","2,185","1,547",67.9,2.5,2.4,2.6,2.7,70.8,2.5,2.4,2.6,2.7,"1,143",50.2,2.5,2.4,2.6,2.7,52.3,2.5,2.4,2.6,2.7
179,2010,IOWA,White,"2,161","2,086","1,494",69.1,2.5,2.5,2.7,2.7,71.6,2.5,2.5,2.7,2.7,"1,106",51.2,2.5,2.5,2.7,2.7,53,2.5,2.5,2.7,2.7
181,2010,IOWA,Black,57,51,29,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),17,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
183,2010,IOWA,Hispanic,96,38,15,15.4,14.6,31.5,12.1,28.1,39.2,14.6,31.5,12.1,28.1,10,10.1,14.6,31.5,12.1,28.1,25.7,14.6,31.5,12.1,28.1
187,2010,KANSAS,Total,"2,059","1,971","1,349",65.5,2.5,2.5,2.7,2.7,68.4,2.5,2.5,2.7,2.7,931,45.2,2.5,2.5,2.7,2.7,47.2,2.5,2.5,2.7,2.7
190,2010,KANSAS,White,"1,831","1,767","1,245",68,2.6,2.6,2.8,2.9,70.4,2.6,2.6,2.8,2.9,863,47.1,2.6,2.6,2.8,2.9,48.8,2.6,2.6,2.8,2.9
192,2010,KANSAS,Black,113,105,52,45.9,13.7,14.3,12.6,13.4,49.3,13.7,14.3,12.6,13.4,34,30.1,13.7,14.3,12.6,13.4,32.3,13.7,14.3,12.6,13.4
194,2010,KANSAS,Hispanic,125,68,45,36.5,16.4,21.7,12.6,21.2,67.1,16.4,21.7,12.6,21.2,20,16.3,16.4,21.7,12.6,21.2,30,16.4,21.7,12.6,21.2
198,2010,KENTUCKY,Total,"3,250","3,158","2,113",65,2.5,2.5,2.6,2.6,66.9,2.5,2.5,2.6,2.6,"1,479",45.5,2.5,2.5,2.6,2.6,46.8,2.5,2.5,2.6,2.6
201,2010,KENTUCKY,White,"2,995","2,930","1,974",65.9,2.6,2.6,2.7,2.7,67.4,2.6,2.6,2.7,2.7,"1,383",46.2,2.6,2.6,2.7,2.7,47.2,2.6,2.6,2.7,2.7
203,2010,KENTUCKY,Black,203,196,118,58.3,12.5,12.6,12.2,12.5,60.1,12.5,12.6,12.2,12.5,76,37.6,12.5,12.6,12.2,12.5,38.8,12.5,12.6,12.2,12.5
205,2010,KENTUCKY,Hispanic,109,72,8,7.6,11.9,17.5,6.5,9.7,11.5,11.9,17.5,6.5,9.7,2,2.1,11.9,17.5,6.5,9.7,3.2,11.9,17.5,6.5,9.7
209,2010,LOUISIANA,Total,"3,314","3,236","2,425",73.2,2.3,2.2,2.6,2.6,74.9,2.3,2.2,2.6,2.6,"1,618",48.8,2.3,2.2,2.6,2.6,50,2.3,2.2,2.6,2.6
212,2010,LOUISIANA,White,"2,218","2,167","1,624",73.2,2.8,2.7,3.1,3.2,74.9,2.8,2.7,3.1,3.2,"1,101",49.6,2.8,2.7,3.1,3.2,50.8,2.8,2.7,3.1,3.2
214,2010,LOUISIANA,Black,981,981,743,75.8,4.9,4.9,5.7,5.7,75.8,4.9,4.9,5.7,5.7,480,48.9,4.9,4.9,5.7,5.7,48.9,4.9,4.9,5.7,5.7
216,2010,LOUISIANA,Hispanic,104,67,42,40.4,22.3,27.4,16.3,24.2,63.2,22.3,27.4,16.3,24.2,16,15.3,22.3,27.4,16.3,24.2,23.9,22.3,27.4,16.3,24.2
220,2010,MAINE,Total,"1,034","1,017",779,75.4,2.4,2.4,2.8,2.8,76.6,2.4,2.4,2.8,2.8,604,58.4,2.4,2.4,2.8,2.8,59.4,2.4,2.4,2.8,2.8
223,2010,MAINE,White,"1,004",992,765,76.2,2.5,2.4,2.8,2.8,77.1,2.5,2.4,2.8,2.8,596,59.3,2.5,2.4,2.8,2.8,60,2.5,2.4,2.8,2.8
225,2010,MAINE,Black,13,9,5,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),2,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
227,2010,MAINE,Hispanic,6,5,4,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),2,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
231,2010,MARYLAND,Total,"4,279","3,853","2,509",58.6,2.3,2.3,2.3,2.4,65.1,2.3,2.3,2.3,2.4,"1,802",42.1,2.3,2.3,2.3,2.4,46.8,2.3,2.3,2.3,2.4
234,2010,MARYLAND,White,"2,760","2,559","1,711",62,2.8,2.8,2.9,3,66.8,2.8,2.8,2.9,3,"1,233",44.7,2.8,2.8,2.9,3,48.2,2.8,2.8,2.9,3
236,2010,MARYLAND,Black,"1,217","1,082",685,56.3,5.2,5.4,5.2,5.6,63.3,5.2,5.4,5.2,5.6,505,41.5,5.2,5.4,5.2,5.6,46.6,5.2,5.4,5.2,5.6
238,2010,MARYLAND,Hispanic,337,166,90,26.8,11.5,18.5,9.6,17.4,54.4,11.5,18.5,9.6,17.4,55,16.3,11.5,18.5,9.6,17.4,33.2,11.5,18.5,9.6,17.4
