,year,State,Race,Total population,Total citizen population,Total registered,Percent registered (Total),Margin of error 1,Margin of error 1,Margin of error 1,Margin of error 1,Percent registered (Citizen),Margin of error 1,Margin of error 1,Margin of error 1,Margin of error 1,Total voted,Percent voted (Total),Margin of error 1,Margin of error 1,Margin of error 1,Margin of error 1,Percent voted (Citizen),Margin of error 1,Margin of error 1,Margin of error 1,Margin of error 1
352,2010,NEW MEXICO,Total,"1,489","1,362",746,50.1,2.6,2.7,2.5,2.7,54.8,2.6,2.7,2.5,2.7,579,38.9,2.6,2.7,2.5,2.7,42.5,2.6,2.7,2.5,2.7
355,2010,NEW MEXICO,White,"1,215","1,107",638,52.5,2.9,3,2.8,3,57.6,2.9,3,2.8,3,499,41.1,2.9,3,2.8,3,45.1,2.9,3,2.8,3
357,2010,NEW MEXICO,Black,44,40,4,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),-,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
359,2010,NEW MEXICO,Hispanic,610,516,249,40.7,6.3,7,5.9,6.7,48.2,6.3,7,5.9,6.7,183,30,6.3,7,5.9,6.7,35.5,6.3,7,5.9,6.7
363,2010,NEW YORK,Total,"14,974","13,163","8,395",56.1,1.2,1.3,1.2,1.3,63.8,1.2,1.3,1.2,1.3,"5,746",38.4,1.2,1.3,1.2,1.3,43.6,1.2,1.3,1.2,1.3
366,2010,NEW YORK,White,"11,336","10,347","6,797",60,1.4,1.4,1.4,1.5,65.7,1.4,1.4,1.4,1.5,"4,721",41.6,1.4,1.4,1.4,1.5,45.6,1.4,1.4,1.4,1.5
368,2010,NEW YORK,Black,"2,478","2,096","1,306",52.7,3.7,3.9,3.6,4,62.3,3.7,3.9,3.6,4,892,36,3.7,3.9,3.6,4,42.6,3.7,3.9,3.6,4
370,2010,NEW YORK,Hispanic,"2,389","1,603",830,34.7,4.7,6,4,5.6,51.8,4.7,6,4,5.6,516,21.6,4.7,6,4,5.6,32.2,4.7,6,4,5.6
374,2010,NORTH CAROLINA,Total,"6,998","6,632","4,455",63.7,1.7,1.7,1.8,1.8,67.2,1.7,1.7,1.8,1.8,"3,009",43,1.7,1.7,1.8,1.8,45.4,1.7,1.7,1.8,1.8
377,2010,NORTH CAROLINA,White,"5,164","4,853","3,344",64.8,2,2,2.1,2.1,68.9,2,2,2.1,2.1,"2,279",44.1,2,2,2.1,2.1,47,2,2,2.1,2.1
379,2010,NORTH CAROLINA,Black,"1,438","1,420",871,60.5,4.7,4.7,4.7,4.7,61.3,4.7,4.7,4.7,4.7,582,40.5,4.7,4.7,4.7,4.7,41,4.7,4.7,4.7,4.7
381,2010,NORTH CAROLINA,Hispanic,469,182,105,22.4,9.1,17.3,8.2,17.4,57.7,9.1,17.3,8.2,17.4,80,17,9.1,17.3,8.2,17.4,43.8,9.1,17.3,8.2,17.4
385,2010,NORTH DAKOTA,Total,488,477,361,73.9,2.3,2.3,2.6,2.7,75.6,2.3,2.3,2.6,2.7,266,54.5,2.3,2.3,2.6,2.7,55.7,2.3,2.3,2.6,2.7
388,2010,NORTH DAKOTA,White,433,428,324,74.7,2.5,2.4,2.8,2.8,75.5,2.5,2.4,2.8,2.8,240,55.4,2.5,2.4,2.8,2.8,56,2.5,2.4,2.8,2.8
390,2010,NORTH DAKOTA,Black,4,4,2,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),-,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
392,2010,NORTH DAKOTA,Hispanic,3,3,2,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),-,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
396,2010,OHIO,Total,"8,642","8,468","5,601",64.8,1.5,1.5,1.6,1.6,66.1,1.5,1.5,1.6,1.6,"3,824",44.2,1.5,1.5,1.6,1.6,45.2,1.5,1.5,1.6,1.6
399,2010,OHIO,White,"7,474","7,396","4,910",65.7,1.6,1.6,1.7,1.7,66.4,1.6,1.6,1.7,1.7,"3,382",45.2,1.6,1.6,1.7,1.7,45.7,1.6,1.6,1.7,1.7
401,2010,OHIO,Black,930,897,606,65.2,5.7,5.7,5.9,6,67.5,5.7,5.7,5.9,6,389,41.9,5.7,5.7,5.9,6,43.4,5.7,5.7,5.9,6
403,2010,OHIO,Hispanic,187,128,64,34.1,16.3,20.8,13.8,18.9,49.7,16.3,20.8,13.8,18.9,38,20.1,16.3,20.8,13.8,18.9,29.3,16.3,20.8,13.8,18.9
407,2010,OKLAHOMA,Total,"2,695","2,628","1,603",59.5,2.6,2.6,2.6,2.6,61,2.6,2.6,2.6,2.6,"1,061",39.4,2.6,2.6,2.6,2.6,40.4,2.6,2.6,2.6,2.6
410,2010,OKLAHOMA,White,"2,015","1,983","1,234",61.2,3,3,3,3,62.2,3,3,3,3,833,41.3,3,3,3,3,42,3,3,3,3
412,2010,OKLAHOMA,Black,195,191,111,57,11.8,11.8,11.4,11.6,58.4,11.8,11.8,11.4,11.6,71,36.1,11.8,11.8,11.4,11.6,37,11.8,11.8,11.4,11.6
414,2010,OKLAHOMA,Hispanic,159,116,38,24.1,14.6,18.8,11,14.8,33.1,14.6,18.8,11,14.8,19,11.9,14.6,18.8,11,14.8,16.3,14.6,18.8,11,14.8
418,2010,OREGON,Total,"2,974","2,830","2,005",67.4,2.4,2.4,2.6,2.6,70.8,2.4,2.4,2.6,2.6,"1,594",53.6,2.4,2.4,2.6,2.6,56.3,2.4,2.4,2.6,2.6
421,2010,OREGON,White,"2,725","2,612","1,861",68.3,2.5,2.5,2.7,2.7,71.3,2.5,2.5,2.7,2.7,"1,493",54.8,2.5,2.5,2.7,2.7,57.2,2.5,2.5,2.7,2.7
423,2010,OREGON,Black,63,61,39,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),25,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
425,2010,OREGON,Hispanic,189,107,50,26.3,14.2,21.4,12.6,20.2,46.4,14.2,21.4,12.6,20.2,35,18.6,14.2,21.4,12.6,20.2,32.9,14.2,21.4,12.6,20.2
429,2010,PENNSYLVANIA,Total,"9,631","9,339","6,031",62.6,1.5,1.5,1.5,1.5,64.6,1.5,1.5,1.5,1.5,"4,104",42.6,1.5,1.5,1.5,1.5,43.9,1.5,1.5,1.5,1.5
432,2010,PENNSYLVANIA,White,"8,435","8,318","5,426",64.3,1.6,1.6,1.6,1.6,65.2,1.6,1.6,1.6,1.6,"3,674",43.6,1.6,1.6,1.6,1.6,44.2,1.6,1.6,1.6,1.6
434,2010,PENNSYLVANIA,Black,907,808,494,54.5,6,6.2,5.9,6.4,61.2,6,6.2,5.9,6.4,368,40.6,6,6.2,5.9,6.4,45.6,6,6.2,5.9,6.4
436,2010,PENNSYLVANIA,Hispanic,390,323,155,39.7,11.7,13.1,9.6,11.3,47.9,11.7,13.1,9.6,11.3,79,20.3,11.7,13.1,9.6,11.3,24.5,11.7,13.1,9.6,11.3
440,2010,RHODE ISLAND,Total,812,745,510,62.8,2.6,2.6,2.7,2.8,68.4,2.6,2.6,2.7,2.8,348,42.9,2.6,2.6,2.7,2.8,46.7,2.6,2.6,2.7,2.8
443,2010,RHODE ISLAND,White,720,681,477,66.3,2.7,2.7,2.9,2.9,70.1,2.7,2.7,2.9,2.9,329,45.7,2.7,2.7,2.9,2.9,48.3,2.7,2.7,2.9,2.9
445,2010,RHODE ISLAND,Black,45,34,18,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),12,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
447,2010,RHODE ISLAND,Hispanic,84,53,20,24.4,11.4,16.3,8.7,13.2,38.8,11.4,16.3,8.7,13.2,10,12.2,11.4,16.3,8.7,13.2,19.5,11.4,16.3,8.7,13.2
451,2010,SOUTH CAROLINA,Total,"3,453","3,339","2,304",66.7,2.4,2.4,2.5,2.6,69,2.4,2.4,2.5,2.6,"1,700",49.2,2.4,2.4,2.5,2.6,50.9,2.4,2.4,2.5,2.6
454,2010,SOUTH CAROLINA,White,"2,455","2,361","1,646",67.1,2.8,2.8,3,3.1,69.7,2.8,2.8,3,3.1,"1,190",48.5,2.8,2.8,3,3.1,50.4,2.8,2.8,3,3.1
456,2010,SOUTH CAROLINA,Black,898,898,616,68.6,5.6,5.6,6,6,68.6,5.6,5.6,6,6,482,53.7,5.6,5.6,6,6,53.7,5.6,5.6,6,6
458,2010,SOUTH CAROLINA,Hispanic,112,45,15,13.3,15,32.6,8.2,19.7,32.8,15,32.6,8.2,19.7,4,3.6,15,32.6,8.2,19.7,8.9,15,32.6,8.2,19.7
462,2010,SOUTH DAKOTA,Total,602,587,406,67.4,2.3,2.3,2.4,2.5,69.1,2.3,2.3,2.4,2.5,322,53.5,2.3,2.3,2.4,2.5,54.9,2.3,2.3,2.4,2.5
465,2010,SOUTH DAKOTA,White,554,543,380,68.7,2.4,2.4,2.5,2.6,70.1,2.4,2.4,2.5,2.6,304,54.9,2.4,2.4,2.5,2.6,56,2.4,2.4,2.5,2.6
467,2010,SOUTH DAKOTA,Black,7,4,2,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),1,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
469,2010,SOUTH DAKOTA,Hispanic,19,10,6,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),3,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
473,2010,TENNESSEE,Total,"4,745","4,547","2,854",60.1,2.1,2.1,2.1,2.1,62.8,2.1,2.1,2.1,2.1,"1,714",36.1,2.1,2.1,2.1,2.1,37.7,2.1,2.1,2.1,2.1
476,2010,TENNESSEE,White,"3,869","3,753","2,365",61.1,2.3,2.4,2.3,2.4,63,2.3,2.4,2.3,2.4,"1,433",37,2.3,2.4,2.3,2.4,38.2,2.3,2.4,2.3,2.4
478,2010,TENNESSEE,Black,716,666,415,58,6.7,6.8,6.4,6.7,62.3,6.7,6.8,6.4,6.7,242,33.8,6.7,6.8,6.4,6.7,36.4,6.7,6.8,6.4,6.7
480,2010,TENNESSEE,Hispanic,160,72,37,23.3,15.7,27.7,11.9,24.4,52.1,15.7,27.7,11.9,24.4,19,11.8,15.7,27.7,11.9,24.4,26.3,15.7,27.7,11.9,24.4
484,2010,TEXAS,Total,"17,847","15,403","9,493",53.2,1.1,1.2,1,1.2,61.6,1.1,1.2,1,1.2,"5,600",31.4,1.1,1.2,1,1.2,36.4,1.1,1.2,1,1.2
487,2010,TEXAS,White,"14,741","12,609","7,858",53.3,1.2,1.3,1.2,1.3,62.3,1.2,1.3,1.2,1.3,"4,631",31.4,1.2,1.3,1.2,1.3,36.7,1.2,1.3,1.2,1.3
489,2010,TEXAS,Black,"2,060","1,993","1,242",60.3,3.9,4,3.9,4,62.3,3.9,4,3.9,4,770,37.4,3.9,4,3.9,4,38.7,3.9,4,3.9,4
491,2010,TEXAS,Hispanic,"6,403","4,376","2,334",36.5,2.9,3.6,2.2,3,53.3,2.9,3.6,2.2,3,"1,012",15.8,2.9,3.6,2.2,3,23.1,2.9,3.6,2.2,3
495,2010,UTAH,Total,"1,929","1,800","1,095",56.8,2.3,2.4,2.3,2.4,60.8,2.3,2.4,2.3,2.4,695,36,2.3,2.4,2.3,2.4,38.6,2.3,2.4,2.3,2.4
498,2010,UTAH,White,"1,811","1,709","1,064",58.8,2.4,2.4,2.4,2.5,62.3,2.4,2.4,2.4,2.5,676,37.4,2.4,2.4,2.4,2.5,39.6,2.4,2.4,2.4,2.5
500,2010,UTAH,Black,19,9,6,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),2,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
502,2010,UTAH,Hispanic,151,71,21,13.7,9.1,17.5,7.5,15.1,29.1,9.1,17.5,7.5,15.1,13,8.9,9.1,17.5,7.5,15.1,18.9,9.1,17.5,7.5,15.1
506,2010,VERMONT,Total,490,481,356,72.7,2.5,2.4,2.8,2.8,74,2.5,2.4,2.8,2.8,265,54,2.5,2.4,2.8,2.8,55,2.5,2.4,2.8,2.8
509,2010,VERMONT,White,473,467,346,73.2,2.5,2.5,2.8,2.8,74.2,2.5,2.5,2.8,2.8,259,54.7,2.5,2.5,2.8,2.8,55.4,2.5,2.5,2.8,2.8
511,2010,VERMONT,Black,4,2,2,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),1,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
513,2010,VERMONT,Hispanic,4,2,1,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),1,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
517,2010,VIRGINIA,Total,"5,873","5,544","3,546",60.4,1.9,1.9,1.9,2,64,1.9,1.9,1.9,2,"2,257",38.4,1.9,1.9,1.9,2,40.7,1.9,1.9,1.9,2
520,2010,VIRGINIA,White,"4,266","4,095","2,775",65,2.2,2.2,2.3,2.3,67.8,2.2,2.2,2.3,2.3,"1,780",41.7,2.2,2.2,2.3,2.3,43.5,2.2,2.2,2.3,2.3
522,2010,VIRGINIA,Black,"1,104","1,041",536,48.5,5.4,5.6,5.1,5.4,51.4,5.4,5.6,5.1,5.4,370,33.6,5.4,5.6,5.1,5.4,35.6,5.4,5.6,5.1,5.4
524,2010,VIRGINIA,Hispanic,369,254,88,23.8,10.4,14,8.2,11.5,34.6,10.4,14,8.2,11.5,48,13,10.4,14,8.2,11.5,18.9,10.4,14,8.2,11.5
528,2010,WASHINGTON,Total,"5,095","4,637","3,367",66.1,2,2,2.1,2.2,72.6,2,2,2.1,2.2,"2,692",52.8,2,2,2.1,2.2,58.1,2,2,2.1,2.2
531,2010,WASHINGTON,White,"4,366","4,085","3,028",69.3,2.1,2.1,2.3,2.3,74.1,2.1,2.1,2.3,2.3,"2,479",56.8,2.1,2.1,2.3,2.3,60.7,2.1,2.1,2.3,2.3
533,2010,WASHINGTON,Black,157,134,60,38.1,14.2,15.8,13.4,15.2,44.8,14.2,15.8,13.4,15.2,47,30,14.2,15.8,13.4,15.2,35.3,14.2,15.8,13.4,15.2
535,2010,WASHINGTON,Hispanic,461,259,110,23.8,9.5,14.6,8.3,13.5,42.4,9.5,14.6,8.3,13.5,77,16.7,9.5,14.6,8.3,13.5,29.8,9.5,14.6,8.3,13.5
539,2010,WEST VIRGINIA,Total,"1,420","1,418",883,62.2,2.3,2.3,2.3,2.3,62.3,2.3,2.3,2.3,2.3,581,40.9,2.3,2.3,2.3,2.3,41,2.3,2.3,2.3,2.3
542,2010,WEST VIRGINIA,White,"1,360","1,359",857,63.1,2.4,2.4,2.4,2.4,63.1,2.4,2.4,2.4,2.4,561,41.2,2.4,2.4,2.4,2.4,41.3,2.4,2.4,2.4,2.4
544,2010,WEST VIRGINIA,Black,48,48,22,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),18,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
546,2010,WEST VIRGINIA,Hispanic,5,5,2,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),2,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
550,2010,WISCONSIN,Total,"4,291","4,156","2,908",67.8,2.1,2.1,2.3,2.3,70,2.1,2.1,2.3,2.3,"2,258",52.6,2.1,2.1,2.3,2.3,54.3,2.1,2.1,2.3,2.3
553,2010,WISCONSIN,White,"3,956","3,848","2,723",68.8,2.2,2.2,2.4,2.4,70.8,2.2,2.2,2.4,2.4,"2,113",53.4,2.2,2.2,2.4,2.4,54.9,2.2,2.2,2.4,2.4
555,2010,WISCONSIN,Black,204,193,113,55.4,12.6,12.9,12.6,13,58.5,12.6,12.9,12.6,13,89,43.9,12.6,12.9,12.6,13,46.3,12.6,12.9,12.6,13
557,2010,WISCONSIN,Hispanic,181,96,53,29.4,15.9,23.9,14.2,23.5,55.7,15.9,23.9,14.2,23.5,38,20.8,15.9,23.9,14.2,23.5,39.4,15.9,23.9,14.2,23.5
561,2010,WYOMING,Total,411,402,239,58.2,2.7,2.7,2.7,2.7,59.6,2.7,2.7,2.7,2.7,190,46.1,2.7,2.7,2.7,2.7,47.2,2.7,2.7,2.7,2.7
564,2010,WYOMING,White,389,382,230,59.1,2.7,2.7,2.8,2.8,60.2,2.7,2.7,2.8,2.8,182,46.9,2.7,2.7,2.8,2.8,47.7,2.7,2.7,2.8,2.8
566,2010,WYOMING,Black,6,5,2,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),2,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
568,2010,WYOMING,Hispanic,31,25,9,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),6,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
0,2012,All,Total,"235,248","215,081","153,157",65.1,0.3,0.3,0.3,0.3,71.2,0.3,0.3,0.3,0.3,"132,948",56.5,0.3,0.3,0.3,0.3,61.8,0.3,0.3,0.3,0.3
3,2012,All,White,"187,084","173,466","124,697",66.7,0.3,0.3,0.3,0.3,71.9,0.3,0.3,0.3,0.3,"107,846",57.6,0.3,0.3,0.3,0.3,62.2,0.3,0.3,0.3,0.3
5,2012,All,Black,"28,709","26,915","19,680",68.5,0.9,0.9,1,1,73.1,0.9,0.9,1,1,"17,813",62,0.9,0.9,1,1,66.2,0.9,0.9,1,1
7,2012,All,Hispanic,"35,204","23,329","13,697",38.9,1.2,1.4,1.1,1.5,58.7,1.2,1.4,1.1,1.5,"11,188",31.8,1.2,1.4,1.1,1.5,48,1.2,1.4,1.1,1.5
11,2012,ALABAMA,Total,"3,594","3,479","2,556",71.1,2.2,2.2,2.4,2.4,73.5,2.2,2.2,2.4,2.4,"2,154",59.9,2.2,2.2,2.4,2.4,61.9,2.2,2.2,2.4,2.4
14,2012,ALABAMA,White,"2,580","2,502","1,878",72.8,2.6,2.6,2.9,2.9,75.1,2.6,2.6,2.9,2.9,"1,530",59.3,2.6,2.6,2.9,2.9,61.2,2.6,2.6,2.9,2.9
16,2012,ALABAMA,Black,891,888,610,68.5,5.6,5.6,5.8,5.8,68.7,5.6,5.6,5.8,5.8,560,62.8,5.6,5.6,5.8,5.8,63.1,5.6,5.6,5.8,5.8
18,2012,ALABAMA,Hispanic,107,35,12,11.5,14.3,37.3,(B),(B),35.1,14.3,37.3,(B),(B),-,(B),14.3,37.3,(B),(B),(B),14.3,37.3,(B),(B)
22,2012,ALASKA,Total,516,495,361,69.9,2.4,2.4,2.6,2.6,72.8,2.4,2.4,2.6,2.6,289,56,2.4,2.4,2.6,2.6,58.4,2.4,2.4,2.6,2.6
25,2012,ALASKA,White,373,365,283,75.7,2.6,2.6,3,3,77.4,2.6,2.6,3,3,232,62.1,2.6,2.6,3,3,63.4,2.6,2.6,3,3
27,2012,ALASKA,Black,21,20,10,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),6,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
29,2012,ALASKA,Hispanic,23,18,10,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),7,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
33,2012,ARIZONA,Total,"4,863","4,314","2,812",57.8,2.1,2.2,2.2,2.3,65.2,2.1,2.2,2.2,2.3,"2,412",49.6,2.1,2.2,2.2,2.3,55.9,2.1,2.2,2.2,2.3
36,2012,ARIZONA,White,"4,130","3,660","2,445",59.2,2.3,2.3,2.3,2.4,66.8,2.3,2.3,2.3,2.4,"2,123",51.4,2.3,2.3,2.3,2.4,58,2.3,2.3,2.3,2.4
38,2012,ARIZONA,Black,211,207,122,57.5,12.4,12.4,12.4,12.6,58.6,12.4,12.4,12.4,12.6,95,45.1,12.4,12.4,12.4,12.6,46,12.4,12.4,12.4,12.6
40,2012,ARIZONA,Hispanic,"1,396",989,516,37,6.1,7.5,5.7,7.4,52.2,6.1,7.5,5.7,7.4,400,28.7,6.1,7.5,5.7,7.4,40.4,6.1,7.5,5.7,7.4
44,2012,ARKANSAS,Total,"2,198","2,109","1,376",62.6,2.4,2.4,2.5,2.6,65.3,2.4,2.4,2.5,2.6,"1,124",51.1,2.4,2.4,2.5,2.6,53.3,2.4,2.4,2.5,2.6
47,2012,ARKANSAS,White,"1,788","1,726","1,148",64.2,2.7,2.7,2.8,2.8,66.5,2.7,2.7,2.8,2.8,941,52.7,2.7,2.7,2.8,2.8,54.5,2.7,2.7,2.8,2.8
49,2012,ARKANSAS,Black,313,313,192,61.3,7.9,7.9,8.1,8.1,61.3,7.9,7.9,8.1,8.1,155,49.4,7.9,7.9,8.1,8.1,49.4,7.9,7.9,8.1,8.1
51,2012,ARKANSAS,Hispanic,143,73,16,11.3,9.8,(B),9.1,(B),(B),9.8,(B),9.1,(B),14,9.5,9.8,(B),9.1,(B),(B),9.8,(B),9.1,(B)
55,2012,CALIFORNIA,Total,"28,357","23,419","15,356",54.2,0.9,0.9,0.9,1,65.6,0.9,0.9,0.9,1,"13,462",47.5,0.9,0.9,0.9,1,57.5,0.9,0.9,0.9,1
58,2012,CALIFORNIA,White,"21,330","17,692","11,785",55.2,1,1.1,1,1.1,66.6,1,1.1,1,1.1,"10,391",48.7,1,1.1,1,1.1,58.7,1,1.1,1,1.1
60,2012,CALIFORNIA,Black,"1,810","1,740","1,192",65.8,4.1,4.1,4.2,4.3,68.5,4.1,4.1,4.2,4.3,"1,063",58.7,4.1,4.1,4.2,4.3,61.1,4.1,4.1,4.2,4.3
62,2012,CALIFORNIA,Hispanic,"9,935","6,510","3,684",37.1,2.3,2.9,2.2,2.9,56.6,2.3,2.9,2.2,2.9,"3,157",31.8,2.3,2.9,2.2,2.9,48.5,2.3,2.9,2.2,2.9
66,2012,COLORADO,Total,"3,817","3,544","2,635",69,2.3,2.2,2.3,2.3,74.4,2.3,2.2,2.3,2.3,"2,495",65.4,2.3,2.2,2.3,2.3,70.4,2.3,2.2,2.3,2.3
69,2012,COLORADO,White,"3,474","3,253","2,471",71.1,2.3,2.3,2.4,2.4,76,2.3,2.3,2.4,2.4,"2,345",67.5,2.3,2.3,2.4,2.4,72.1,2.3,2.3,2.4,2.4
71,2012,COLORADO,Black,140,125,75,53.6,15.4,16,15.4,16.2,60.1,15.4,16,15.4,16.2,69,49.6,15.4,16,15.4,16.2,55.6,15.4,16,15.4,16.2
73,2012,COLORADO,Hispanic,681,497,284,41.7,9,10.5,8.8,10.6,57.2,9,10.5,8.8,10.6,259,38,9,10.5,8.8,10.6,52.1,9,10.5,8.8,10.6
77,2012,CONNECTICUT,Total,"2,726","2,499","1,760",64.6,2.5,2.5,2.5,2.6,70.4,2.5,2.5,2.5,2.6,"1,568",57.5,2.5,2.5,2.5,2.6,62.7,2.5,2.5,2.5,2.6
80,2012,CONNECTICUT,White,"2,238","2,115","1,520",67.9,2.7,2.6,2.8,2.8,71.8,2.7,2.6,2.8,2.8,"1,352",60.4,2.7,2.6,2.8,2.8,63.9,2.7,2.6,2.8,2.8
82,2012,CONNECTICUT,Black,279,256,164,58.7,9.6,9.8,9.6,9.9,64,9.6,9.8,9.6,9.9,159,57.1,9.6,9.8,9.6,9.9,62.2,9.6,9.8,9.6,9.9
84,2012,CONNECTICUT,Hispanic,292,220,127,43.5,12.3,14.1,11.8,14.2,57.7,12.3,14.1,11.8,14.2,103,35.4,12.3,14.1,11.8,14.2,47,12.3,14.1,11.8,14.2
88,2012,DELAWARE,Total,693,641,470,67.8,2.4,2.4,2.5,2.5,73.3,2.4,2.4,2.5,2.5,431,62.2,2.4,2.4,2.5,2.5,67.3,2.4,2.4,2.5,2.5
91,2012,DELAWARE,White,521,488,365,70.1,2.7,2.7,2.8,2.8,74.7,2.7,2.7,2.8,2.8,336,64.5,2.7,2.7,2.8,2.8,68.8,2.7,2.7,2.8,2.8
93,2012,DELAWARE,Black,142,134,91,64,6.6,6.6,6.7,6.8,67.5,6.6,6.6,6.7,6.8,86,60.5,6.6,6.6,6.7,6.8,63.7,6.6,6.6,6.7,6.8
95,2012,DELAWARE,Hispanic,56,24,11,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),10,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
99,2012,DISTRICT OF COLUMBIA,Total,517,461,385,74.4,2.3,2.1,2.5,2.4,83.4,2.3,2.1,2.5,2.4,350,67.7,2.3,2.1,2.5,2.4,75.9,2.3,2.1,2.5,2.4
102,2012,DISTRICT OF COLUMBIA,White,246,212,180,73.2,3.4,3,3.7,3.6,85.1,3.4,3,3.7,3.6,161,65.3,3.4,3,3.7,3.6,75.9,3.4,3,3.7,3.6
104,2012,DISTRICT OF COLUMBIA,Black,244,231,191,78,3.9,3.6,4.2,4.1,82.6,3.9,3.6,4.2,4.1,177,72.6,3.9,3.6,4.2,4.1,76.8,3.9,3.6,4.2,4.1
106,2012,DISTRICT OF COLUMBIA,Hispanic,48,19,14,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),13,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
110,2012,FLORIDA,Total,"15,034","13,326","9,102",60.5,1.2,1.2,1.2,1.3,68.3,1.2,1.2,1.2,1.3,"8,107",53.9,1.2,1.2,1.2,1.3,60.8,1.2,1.2,1.2,1.3
113,2012,FLORIDA,White,"12,054","10,834","7,515",62.3,1.3,1.3,1.3,1.4,69.4,1.3,1.3,1.3,1.4,"6,712",55.7,1.3,1.3,1.3,1.4,62,1.3,1.3,1.3,1.4
115,2012,FLORIDA,Black,"2,244","1,919","1,262",56.3,3.8,3.9,3.8,4,65.8,3.8,3.9,3.8,4,"1,104",49.2,3.8,3.9,3.8,4,57.6,3.8,3.9,3.8,4
117,2012,FLORIDA,Hispanic,"3,349","2,250","1,622",48.4,4,4.4,4,4.8,72.1,4,4.4,4,4.8,"1,399",41.8,4,4.4,4,4.8,62.2,4,4.4,4,4.8
121,2012,GEORGIA,Total,"7,179","6,738","4,767",66.4,1.7,1.7,1.7,1.8,70.7,1.7,1.7,1.7,1.8,"4,168",58.1,1.7,1.7,1.7,1.8,61.9,1.7,1.7,1.7,1.8
124,2012,GEORGIA,White,"4,659","4,388","3,121",67,2.1,2,2.2,2.2,71.1,2.1,2,2.2,2.2,"2,683",57.6,2.1,2,2.2,2.2,61.1,2.1,2,2.2,2.2
126,2012,GEORGIA,Black,"2,151","2,063","1,491",69.3,3.6,3.6,3.8,3.8,72.3,3.6,3.6,3.8,3.8,"1,340",62.3,3.6,3.6,3.8,3.8,65,3.6,3.6,3.8,3.8
128,2012,GEORGIA,Hispanic,489,238,140,28.7,9.6,14.9,9,15.2,59,9.6,14.9,9,15.2,114,23.3,9.6,14.9,9,15.2,47.8,9.6,14.9,9,15.2
132,2012,HAWAII,Total,"1,013",930,547,54.1,2.4,2.5,2.4,2.6,58.9,2.4,2.5,2.4,2.6,480,47.4,2.4,2.5,2.4,2.6,51.6,2.4,2.5,2.4,2.6
135,2012,HAWAII,White,238,228,170,71.3,4.6,4.5,4.8,4.9,74.4,4.6,4.5,4.8,4.9,153,64.2,4.6,4.5,4.8,4.9,66.9,4.6,4.5,4.8,4.9
137,2012,HAWAII,Black,18,18,12,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),12,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
139,2012,HAWAII,Hispanic,81,73,33,41,13.4,(B),12.7,(B),(B),13.4,(B),12.7,(B),25,31.4,13.4,(B),12.7,(B),(B),13.4,(B),12.7,(B)
143,2012,IDAHO,Total,"1,129","1,064",745,65.9,2.4,2.3,2.4,2.5,70,2.4,2.3,2.4,2.5,679,60.2,2.4,2.3,2.4,2.5,63.9,2.4,2.3,2.4,2.5
146,2012,IDAHO,White,"1,077","1,021",726,67.4,2.4,2.4,2.5,2.5,71.1,2.4,2.4,2.5,2.5,661,61.4,2.4,2.4,2.5,2.5,64.8,2.4,2.4,2.5,2.5
