,State,bw_search,bw_arrest,bw_citation,bw_warning
0,az_statewide_2020_04_01.csv,14.814814814814815,23.893805309734514,9.06816760475297,6.994271932469099
1,az_statewide_2020_04_01.csv,19.69104223091584,17.24206349206349,9.541002843345218,7.383703976548951
2,az_statewide_2020_04_01.csv,22.609709561161754,19.722158961512186,11.16279411009457,8.185178935742664
3,az_statewide_2020_04_01.csv,28.337336535895382,13.17431922083085,15.52986317968395,11.377763675959445
4,az_statewide_2020_04_01.csv,0.0,0.0,0.0,0.0
5,ma_statewide_2020_04_01.csv,24.399126001456665,20.310147545919904,13.849207399370155,11.863003071632997
6,ma_statewide_2020_04_01.csv,28.46820809248555,21.703487564262886,15.347305852327342,13.285491000151257
7,ma_statewide_2020_04_01.csv,27.813712807244503,22.56599966369598,15.586103132266448,13.827198189541368
8,ma_statewide_2020_04_01.csv,0.0,0.0,0.0,0.0
9,ma_statewide_2020_04_01.csv,0.0,0.0,0.0,0.0
10,mt_statewide_2020_04_01.csv,2.93040293040293,0.8839127872716559,1.0011923462724985,0.734788164749828
11,mt_statewide_2020_04_01.csv,3.883495145631068,0.857449088960343,1.194492759697395,0.8459546017123244
12,mt_statewide_2020_04_01.csv,5.21978021978022,1.6519174041297935,1.444810368639116,1.140333266412367
13,mt_statewide_2020_04_01.csv,6.521739130434782,1.3590844062947067,1.6532469388727429,1.6705052745315476
14,mt_statewide_2020_04_01.csv,0.0,0.0,0.0,0.0
15,nc_statewide_2020_04_01.csv,110.55810191426261,78.81201956673655,51.059675924797,59.09104419938769
16,nc_statewide_2020_04_01.csv,115.96596596596596,84.8867052870866,51.91841771381893,60.50213514280409
17,nc_statewide_2020_04_01.csv,125.59948615472452,89.33929736278073,54.630454767647464,66.88233342932023
18,nc_statewide_2020_04_01.csv,0.0,0.0,0.0,0.0
19,nc_statewide_2020_04_01.csv,0.0,0.0,0.0,0.0
20,ri_statewide_2020_04_01.csv,38.1198347107438,35.533553355335535,21.25266398295051,13.151927437641723
21,ri_statewide_2020_04_01.csv,45.59426229508197,43.408662900188325,20.086980920314254,19.590443686006825
22,ri_statewide_2020_04_01.csv,63.679245283018865,57.21739130434783,21.84304015502207,28.244897959183675
23,ri_statewide_2020_04_01.csv,0.0,0.0,0.0,0.0
24,ri_statewide_2020_04_01.csv,0.0,0.0,0.0,0.0
25,vt_statewide_2020_04_01.csv,3.7209302325581395,1.935483870967742,2.350385147145961,1.5161290322580645
26,vt_statewide_2020_04_01.csv,8.52017937219731,4.085257548845471,2.169266937379782,1.828878803160195
27,vt_statewide_2020_04_01.csv,12.741935483870968,3.395585738539898,2.8236691501997626,2.227520863399636
28,vt_statewide_2020_04_01.csv,0.0,0.0,0.0,0.0
29,vt_statewide_2020_04_01.csv,0.0,0.0,0.0,0.0
30,wi_statewide_2020_04_01.csv,27.77777777777778,25.77319587628866,8.246128087065719,5.079279763504434
31,wi_statewide_2020_04_01.csv,22.003218020917135,19.679054054054053,8.420617420066153,6.285011313459722
32,wi_statewide_2020_04_01.csv,33.37468982630273,25.826355222565006,9.873965136772263,7.252435339209685
33,wi_statewide_2020_04_01.csv,38.41059602649007,29.67581047381546,13.129770992366412,8.745860575698396
34,wi_statewide_2020_04_01.csv,0.0,0.0,0.0,0.0
