,Year,State,Race,Education,Income
104,2012,Maine,White,0.48512173128944996,23000.0
105,2012,Maine,Black,0.38095238095238093,14400.0
106,2012,Massachusetts,White,0.6010735914846761,32000.0
107,2012,Massachusetts,Black,0.46153846153846156,20000.0
108,2012,New Hampshire,White,0.5624063155790946,30000.0
109,2012,New Hampshire,Black,0.5287356321839081,17000.0
110,2012,Rhode Island,White,0.5498607242339832,28000.0
111,2012,Rhode Island,Black,0.4506329113924051,17600.0
112,2012,Vermont,White,0.5380660470634764,25500.0
113,2012,Vermont,Black,0.4,9000.0
114,2012,Delaware,White,0.5118978525827046,30300.0
115,2012,Delaware,Black,0.4472168905950096,21100.0
116,2012,New Jersey,White,0.5547744210104081,35000.0
117,2012,New Jersey,Black,0.44778414651195303,23800.0
118,2012,New York,White,0.5516381732235145,29804.0
119,2012,New York,Black,0.4601749406244569,21100.0
120,2012,Pennsylvania,White,0.44140647627874646,25500.0
121,2012,Pennsylvania,Black,0.3986804901036758,16800.0
122,2012,Illinois,White,0.5250819739044069,29000.0
123,2012,Illinois,Black,0.457047539616347,17600.0
124,2012,Indiana,White,0.4321927983587615,25000.0
125,2012,Indiana,Black,0.4103671706263499,16300.0
126,2012,Michigan,White,0.48845980996404725,24500.0
127,2012,Michigan,Black,0.435652853792025,16100.0
128,2012,Ohio,White,0.45326608965526466,25000.0
129,2012,Ohio,Black,0.4160300715411665,15860.0
130,2012,Wisconsin,White,0.4718033263831644,26300.0
131,2012,Wisconsin,Black,0.369533527696793,13850.0
132,2012,Iowa,White,0.4696996234346265,25600.0
133,2012,Iowa,Black,0.4297082228116711,14300.0
134,2012,Kansas,White,0.508770103575704,25000.0
135,2012,Kansas,Black,0.4631043256997455,18900.0
136,2012,Minnesota,White,0.5272127542605828,29000.0
137,2012,Minnesota,Black,0.42808607021517553,14000.0
138,2012,Missouri,White,0.4514124720146907,23500.0
139,2012,Missouri,Black,0.42242538316751815,17900.0
140,2012,Nebraska,White,0.5136766503667481,26000.0
141,2012,Nebraska,Black,0.41265822784810124,15000.0
142,2012,North Dakota,White,0.5217737124676874,28520.0
143,2012,North Dakota,Black,0.38461538461538464,15400.0
144,2012,South Dakota,White,0.4900161899622234,25000.0
145,2012,South Dakota,Black,0.2857142857142857,20400.0
146,2012,Virginia,White,0.5809572756524848,32600.0
147,2012,Virginia,Black,0.44976611755135243,21100.0
148,2012,Alabama,White,0.4697705643091261,24100.0
149,2012,Alabama,Black,0.3907260069617106,14700.0
150,2012,Arkansas,White,0.41366823772847455,21400.0
151,2012,Arkansas,Black,0.3450965824665676,15300.0
152,2012,Florida,White,0.5270109535052993,25000.0
153,2012,Florida,Black,0.4121719904579042,18000.0
154,2012,Georgia,White,0.5215110413630759,27000.0
155,2012,Georgia,Black,0.4395194697597349,18000.0
156,2012,Louisiana,White,0.4626207672826189,26100.0
157,2012,Louisiana,Black,0.34891038340519753,15000.0
158,2012,Mississippi,White,0.4898993838234147,23600.0
159,2012,Mississippi,Black,0.3877551020408163,13800.0
160,2012,North Carolina,White,0.5430425762737672,26150.0
161,2012,North Carolina,Black,0.4190008441408948,17000.0
162,2012,South Carolina,White,0.5283386037460472,25202.0
163,2012,South Carolina,Black,0.37105820765299763,15300.0
164,2012,Texas,White,0.5058788836548131,26000.0
165,2012,Texas,Black,0.460829763511531,18900.0
166,2012,Kentucky,White,0.4270516717325228,22000.0
167,2012,Kentucky,Black,0.3977272727272727,16350.0
168,2012,Maryland,White,0.5876178994397561,37900.0
169,2012,Maryland,Black,0.5011538461538462,29400.0
170,2012,Oklahoma,White,0.4475286714706181,23390.0
171,2012,Oklahoma,Black,0.43927272727272726,17000.0
172,2012,Tennessee,White,0.45264475090591516,24000.0
173,2012,Tennessee,Black,0.40565118544982137,18000.0
174,2012,West Virginia,White,0.37290786798060377,21000.0
175,2012,West Virginia,Black,0.351981351981352,14000.0
176,2012,Arizona,White,0.5620140998133029,26000.0
177,2012,Arizona,Black,0.5254901960784314,22000.0
178,2012,Colorado,White,0.6193855578806903,30000.0
179,2012,Colorado,Black,0.5008183306055647,20000.0
180,2012,Idaho,White,0.5051515751931841,22500.0
181,2012,Idaho,Black,0.47058823529411764,21500.0
182,2012,Montana,White,0.521215680516811,24000.0
183,2012,Montana,Black,0.6153846153846154,21000.0
184,2012,Nevada,White,0.5114662462376379,28035.0
185,2012,Nevada,Black,0.4666130329847144,22800.0
186,2012,New Mexico,White,0.5516699822008166,24300.0
187,2012,New Mexico,Black,0.5408163265306123,19800.0
188,2012,Utah,White,0.5825724133760658,26000.0
189,2012,Utah,Black,0.5496688741721855,14000.0
190,2012,Wyoming,White,0.5109359104781281,28000.0
191,2012,Wyoming,Black,0.43478260869565216,19200.0
192,2012,California,White,0.5742311609271806,28300.0
193,2012,California,Black,0.5495926451902234,20000.0
194,2012,Oregon,White,0.5647590953785644,25000.0
195,2012,Oregon,Black,0.5552631578947368,17150.0
196,2012,Washington,White,0.5867147147147147,30000.0
197,2012,Washington,Black,0.5138999205718825,24000.0
198,2012,Alaska,White,0.5814280689412592,33900.0
199,2012,Alaska,Black,0.5769230769230769,27200.0
200,2012,Hawaii,White,0.6606875934230194,34400.0
201,2012,Hawaii,Black,0.5866666666666667,30000.0
202,2012,District of Columbia,White,0.908843537414966,60000.0
203,2012,District of Columbia,Black,0.4362325371789094,21000.0
204,2014,Connecticut,White,0.593093026356727,36900.0
205,2014,Connecticut,Black,0.45773003269500234,22000.0
206,2014,Maine,White,0.5016369961121342,24000.0
207,2014,Maine,Black,0.45121951219512196,8900.0
208,2014,Massachusetts,White,0.6209180074187015,34000.0
209,2014,Massachusetts,Black,0.5023457235654998,20900.0
210,2014,New Hampshire,White,0.5713574345184742,31200.0
211,2014,New Hampshire,Black,0.5742574257425742,28000.0
212,2014,Rhode Island,White,0.5491539644804923,30000.0
213,2014,Rhode Island,Black,0.4358288770053476,20000.0
214,2014,Vermont,White,0.5363562091503268,27000.0
215,2014,Vermont,Black,0.4594594594594595,12000.0
216,2014,Delaware,White,0.5266260935717003,31800.0
217,2014,Delaware,Black,0.46754468485418627,24000.0
218,2014,New Jersey,White,0.5691925413073949,36200.0
219,2014,New Jersey,Black,0.4711403754553096,25000.0
220,2014,New York,White,0.5682533908931665,30600.0
221,2014,New York,Black,0.47064953108718305,23000.0
222,2014,Pennsylvania,White,0.45698631409103047,27020.0
223,2014,Pennsylvania,Black,0.4067796610169492,18000.0
224,2014,Illinois,White,0.5432066984608714,30000.0
225,2014,Illinois,Black,0.4813445012509518,19200.0
226,2014,Indiana,White,0.4533733133433283,25700.0
227,2014,Indiana,Black,0.4213755247013239,18000.0
228,2014,Michigan,White,0.5034515819750719,26000.0
229,2014,Michigan,Black,0.4426179604261796,17300.0
230,2014,Ohio,White,0.46971138598160483,26500.0
231,2014,Ohio,Black,0.401433256407142,16400.0
232,2014,Wisconsin,White,0.4827885659148474,28000.0
233,2014,Wisconsin,Black,0.4070201643017177,15500.0
234,2014,Iowa,White,0.4859634659608626,27000.0
235,2014,Iowa,Black,0.4332425068119891,15000.0
236,2014,Kansas,White,0.5182481751824818,27000.0
237,2014,Kansas,Black,0.43333333333333335,20000.0
238,2014,Minnesota,White,0.5404962120225977,30000.0
239,2014,Minnesota,Black,0.45699481865284974,16400.0
240,2014,Missouri,White,0.4753339538627959,25000.0
241,2014,Missouri,Black,0.43632907955471084,18200.0
242,2014,Nebraska,White,0.516039156626506,27500.0
243,2014,Nebraska,Black,0.4461942257217848,18000.0
244,2014,North Dakota,White,0.5254361799816345,30000.0
245,2014,North Dakota,Black,0.5714285714285714,14000.0
246,2014,South Dakota,White,0.5040890899599791,27000.0
247,2014,South Dakota,Black,0.4716981132075472,10060.0
248,2014,Virginia,White,0.6004372598383464,34800.0
249,2014,Virginia,Black,0.45526315789473687,22600.0
250,2014,Alabama,White,0.47825917404359863,25000.0
251,2014,Alabama,Black,0.383463377800151,15745.0
252,2014,Arkansas,White,0.42875049854709135,22000.0
253,2014,Arkansas,Black,0.3618297712785902,16200.0
254,2014,Florida,White,0.5446672625194159,26400.0
255,2014,Florida,Black,0.4332691971313626,19400.0
256,2014,Georgia,White,0.5352677983945255,28100.0
257,2014,Georgia,Black,0.4504970880640038,19000.0
258,2014,Louisiana,White,0.48349478040063953,28600.0
259,2014,Louisiana,Black,0.37600479904019196,16200.0
260,2014,Mississippi,White,0.49264648665473504,24800.0
261,2014,Mississippi,Black,0.3925480416605545,15000.0
262,2014,North Carolina,White,0.5644497868264373,27700.0
263,2014,North Carolina,Black,0.4395939861100511,18000.0
264,2014,South Carolina,White,0.5459099804305284,27000.0
265,2014,South Carolina,Black,0.3761084367874335,16100.0
266,2014,Texas,White,0.5214196589491197,28000.0
267,2014,Texas,Black,0.4886841805982031,20500.0
268,2014,Kentucky,White,0.44937582018237493,24000.0
269,2014,Kentucky,Black,0.4107321965897693,17060.0
270,2014,Maryland,White,0.6114779256932795,39800.0
271,2014,Maryland,Black,0.5143833665622329,31000.0
272,2014,Oklahoma,White,0.455398582139032,25000.0
273,2014,Oklahoma,Black,0.44113475177304967,18200.0
274,2014,Tennessee,White,0.464667057414439,25000.0
275,2014,Tennessee,Black,0.4219269102990033,17500.0
276,2014,West Virginia,White,0.3861486750566716,22000.0
277,2014,West Virginia,Black,0.4095238095238095,16000.0
278,2014,Arizona,White,0.5713002531369934,28200.0
279,2014,Arizona,Black,0.5701239399869537,22000.0
280,2014,Colorado,White,0.6315774062252936,32000.0
281,2014,Colorado,Black,0.5353535353535354,23000.0
282,2014,Idaho,White,0.5141541776863552,24000.0
283,2014,Idaho,Black,0.5,15600.0
284,2014,Montana,White,0.5392993818074772,25500.0
285,2014,Montana,Black,0.3333333333333333,10000.0
286,2014,Nevada,White,0.5277033388860722,30000.0
287,2014,Nevada,Black,0.4664610639938319,24000.0
288,2014,New Mexico,White,0.565426925091671,25000.0
289,2014,New Mexico,Black,0.5396039603960396,21000.0
290,2014,Utah,White,0.5940717074902379,27000.0
291,2014,Utah,Black,0.48507462686567165,19850.0
292,2014,Wyoming,White,0.5294418842805939,30000.0
293,2014,Wyoming,Black,0.5517241379310345,16400.0
294,2014,California,White,0.587025497456275,30000.0
295,2014,California,Black,0.5565237157145022,21700.0
296,2014,Oregon,White,0.5768397430937089,26200.0
297,2014,Oregon,Black,0.5532994923857868,19300.0
298,2014,Washington,White,0.5942118081006313,31000.0
299,2014,Washington,Black,0.5041509433962265,25000.0
300,2014,Alaska,White,0.5891639756010046,39000.0
301,2014,Alaska,Black,0.5,23800.0
302,2014,Hawaii,White,0.6724627395315826,36000.0
303,2014,Hawaii,Black,0.5535714285714286,34150.0
304,2014,District of Columbia,White,0.9046038987971796,65000.0
305,2014,District of Columbia,Black,0.46153846153846156,23200.0
306,2016,Connecticut,White,0.6122321984176371,40000.0
307,2016,Connecticut,Black,0.45231481481481484,24500.0
308,2016,Maine,White,0.5181702936826537,26000.0
309,2016,Maine,Black,0.43661971830985913,13000.0
310,2016,Massachusetts,White,0.6282039751776239,37000.0
311,2016,Massachusetts,Black,0.5054794520547945,25000.0
312,2016,New Hampshire,White,0.5914020903174916,33200.0
313,2016,New Hampshire,Black,0.5647058823529412,20000.0
314,2016,Rhode Island,White,0.5728514513375071,32000.0
315,2016,Rhode Island,Black,0.519774011299435,21800.0
316,2016,Vermont,White,0.5480340494527767,30000.0
317,2016,Vermont,Black,0.5789473684210527,14700.0
318,2016,Delaware,White,0.554820415879017,34000.0
319,2016,Delaware,Black,0.43153918791312557,26000.0
320,2016,New Jersey,White,0.5826176643933654,40000.0
321,2016,New Jersey,Black,0.4690909090909091,25000.0
322,2016,New York,White,0.5826552792044165,34000.0
323,2016,New York,Black,0.48902875620741426,25000.0
324,2016,Pennsylvania,White,0.47354972697997855,29000.0
325,2016,Pennsylvania,Black,0.4241086587436333,19900.0
326,2016,Illinois,White,0.553818554587391,32000.0
327,2016,Illinois,Black,0.4915272531030761,20000.0
328,2016,Indiana,White,0.4612742612143285,27600.0
329,2016,Indiana,Black,0.4178217821782178,20000.0
330,2016,Michigan,White,0.5095607724346838,28000.0
331,2016,Michigan,Black,0.4537788881948782,19000.0
332,2016,Ohio,White,0.48285437351007254,29000.0
333,2016,Ohio,Black,0.4225489004981169,19000.0
334,2016,Wisconsin,White,0.4968571565663836,30000.0
335,2016,Wisconsin,Black,0.4,15000.0
336,2016,Iowa,White,0.48974049487024746,30000.0
337,2016,Iowa,Black,0.42720763723150357,18000.0
338,2016,Kansas,White,0.5364723231684837,29100.0
339,2016,Kansas,Black,0.4769038701622971,20000.0
340,2016,Minnesota,White,0.563450168918919,33000.0
341,2016,Minnesota,Black,0.4715127701375246,16900.0
342,2016,Missouri,White,0.488775,27000.0
343,2016,Missouri,Black,0.446003176283748,20000.0
344,2016,Nebraska,White,0.5444030134692945,30000.0
345,2016,Nebraska,Black,0.4490358126721763,19000.0
346,2016,North Dakota,White,0.5478276743336984,33715.0
347,2016,North Dakota,Black,0.43636363636363634,22000.0
348,2016,South Dakota,White,0.5314265536723164,30000.0
349,2016,South Dakota,Black,0.4189189189189189,21250.0
350,2016,Virginia,White,0.6129263679645209,36000.0
351,2016,Virginia,Black,0.4671638698984877,25000.0
352,2016,Alabama,White,0.4986274888845931,26800.0
353,2016,Alabama,Black,0.41875326030255605,17000.0
354,2016,Arkansas,White,0.44762449914138525,24500.0
355,2016,Arkansas,Black,0.3889312977099237,17635.0
356,2016,Florida,White,0.5575938889215695,28600.0
357,2016,Florida,Black,0.4359865600741513,20400.0
358,2016,Georgia,White,0.54460345344702,30000.0
359,2016,Georgia,Black,0.47247315493437875,20800.0
360,2016,Louisiana,White,0.4973468627816049,29000.0
361,2016,Louisiana,Black,0.3786760256565412,16800.0
362,2016,Mississippi,White,0.5192337164750958,26400.0
363,2016,Mississippi,Black,0.40777879064114253,16600.0
