Year,State,Race,Total population,Total voted,Education,Income,Political Power
2010,ALABAMA,White,2611,1097,0.4750729667902501,24100.0,-0.11538942681612838
2010,ALABAMA,Black,868,403,0.3846875838026281,15000.0,-1.3050530266353888
2010,ALASKA,White,385,209,0.5940251572327044,35850.0,1.4164033822108695
2010,ALASKA,Black,24,7,0.6578947368421053,34400.0,1.2385080005285114
2010,ARIZONA,White,4267,1936,0.5635464970982701,26200.0,0.17089342351440281
2010,ARIZONA,Black,193,76,0.5522696011004127,23400.0,-0.19663265294564186
2010,ARKANSAS,White,1740,713,0.4044428977437504,21400.0,-0.475400779455789
2010,ARKANSAS,Black,310,100,0.3460061443932412,14400.0,-1.3889986606582965
2010,CALIFORNIA,White,20828,8666,0.5739521527577511,29000.0,0.5511257403380411
2010,CALIFORNIA,Black,1728,708,0.550951140579367,23300.0,-0.20811489206439499
2010,COLORADO,White,3423,1714,0.6172233655216084,30000.0,0.668595311781185
2010,COLORADO,Black,148,60,0.5019120458891013,24000.0,-0.12686615025787706
2010,CONNECTICUT,White,2273,1096,0.5750756093221847,35000.0,1.305993786754901
2010,CONNECTICUT,Black,247,93,0.4147727272727273,22450.0,-0.33993832504654325
2010,DELAWARE,White,513,252,0.505591054313099,30000.0,0.6483234388817769
2010,DELAWARE,Black,134,64,0.41350210970464135,22000.0,-0.398292134931348
2010,DISTRICT OF COLUMBIA,White,220,86,0.8912835249042146,59000.0,4.448179189905964
2010,DISTRICT OF COLUMBIA,Black,244,103,0.4354679802955665,22900.0,-0.27873567629069745
2010,FLORIDA,White,11665,4740,0.5213591710884842,25000.0,0.01718324993454456
2010,FLORIDA,Black,2046,725,0.4132011155872327,19000.0,-0.7835767129216124
2010,GEORGIA,White,4734,1881,0.5183737118061833,27000.0,0.26747482438795234
2010,GEORGIA,Black,2066,929,0.44308497686876064,19600.0,-0.7013735190298144
2010,HAWAII,White,191,84,0.6712696586114307,35000.0,1.3181351387204918
2010,HAWAII,Black,28,10,0.6186440677966102,33400.0,1.1035507316166535
2010,IDAHO,White,1051,483,0.4971456216739236,22800.0,-0.28140767314830417
2010,IDAHO,Black,8,4,0.5384615384615384,19800.0,-0.6634264427927302
2010,ILLINOIS,White,7799,3225,0.5229681501108527,28000.0,0.40054046400338594
2010,ILLINOIS,Black,1312,658,0.4821016166281755,19000.0,-0.7736439441595837
2010,INDIANA,White,4300,1646,0.4306207616066771,24600.0,-0.05599170427873478
2010,INDIANA,Black,371,158,0.408515130190007,18750.0,-0.8181560372237224
2010,IOWA,White,2161,1106,0.4578475941846334,25000.0,-0.002092384901262052
2010,IOWA,Black,57,17,0.4205607476635514,15600.0,-1.223135013178727
2010,KANSAS,White,1831,863,0.5069448168606211,25400.0,0.05645539497935225
2010,KANSAS,Black,113,34,0.44642857142857145,18050.0,-0.9030451225944298
2010,KENTUCKY,White,2995,1383,0.42372289535249136,22000.0,-0.3935498428890078
2010,KENTUCKY,Black,203,76,0.4,16550.0,-1.103507937900154
2010,LOUISIANA,White,2218,1101,0.4488275357681583,25800.0,0.09979504758812685
2010,LOUISIANA,Black,981,480,0.3486355521550625,15600.0,-1.232922968329605
2010,MAINE,White,1004,596,0.4686175162858029,23700.0,-0.16947123692173424
2010,MAINE,Black,13,2,0.3880597014925373,12500.0,-1.6280894037465252
2010,MARYLAND,White,2760,1233,0.5851215006394771,38000.0,1.6950433900461022
2010,MARYLAND,Black,1217,505,0.4917914300464636,30000.0,0.6469349384119226
2010,MASSACHUSETTS,White,4516,2304,0.5927684784653,32500.0,0.9888123324587794
2010,MASSACHUSETTS,Black,319,93,0.4799154334038055,22000.0,-0.3881217171609768
2010,MICHIGAN,White,6141,2873,0.4840713090487837,24000.0,-0.12279968810806688
2010,MICHIGAN,Black,997,407,0.4412470023980815,17810.0,-0.9338513662597665
2010,MINNESOTA,White,3680,2024,0.5199476956742187,28000.0,0.3963613228867585
2010,MINNESOTA,Black,140,45,0.4534005037783375,16000.0,-1.1664802318695335
2010,MISSISSIPPI,White,1324,623,0.4922581634217385,24000.0,-0.1269839805057396
2010,MISSISSIPPI,Black,721,351,0.3785925120397701,13800.0,-1.460957511167479
2010,MISSOURI,White,3900,1755,0.4471290650406504,24000.0,-0.13099355880393485
2010,MISSOURI,Black,484,224,0.4025323910482921,18000.0,-0.9156906006107269
2010,MONTANA,White,678,359,0.531536780772032,24000.0,-0.12172856144933185
